date,equity,open_positions
2016-11-16,5783568.50557158,58
2016-11-17,5781529.421540786,57
2016-11-18,5782273.654884916,59
2016-11-21,5761553.247216906,50
2016-11-22,5766560.340696063,50
2016-11-23,5772013.921426501,50
2016-11-24,5776865.286773191,51
2016-11-25,5786407.902306585,54
2016-11-28,5793083.901387397,57
2016-11-29,5792681.206956092,57
2016-11-30,5798445.042004761,59
2016-12-01,5795067.933111915,62
2016-12-02,5784894.50022217,63
2016-12-05,5789389.935089394,65
2016-12-06,5793003.858484551,65
2016-12-07,5792089.823889062,65
2016-12-08,5800848.953073785,65
2016-12-09,5804565.961910594,66
2016-12-12,5800662.600887645,66
2016-12-13,5802577.029312644,68
2016-12-14,5789269.28737089,67
2016-12-15,5793859.050776179,67
2016-12-16,5792716.984000882,67
2016-12-19,5785287.490718827,65
2016-12-20,5781415.936471189,63
2016-12-21,5781394.992781843,63
2016-12-22,5769197.704131216,57
2016-12-23,5766725.236998865,54
2016-12-26,5756748.774729883,39
2016-12-27,5762071.732701456,39
2016-12-28,5763387.0173244355,38
2016-12-29,5768166.748313892,38
2016-12-30,5770041.533143508,40
2017-01-02,5778061.818572187,41
2017-01-03,5779989.797606995,46
2017-01-04,5782832.3275520485,50
2017-01-05,5787139.775441271,51
2017-01-06,5784598.816538178,52
2017-01-09,5790683.52403536,55
2017-01-10,5794708.04347298,59
2017-01-11,5797998.779035956,66
2017-01-12,5797826.184270263,72
2017-01-13,5796553.615966382,77
2017-01-16,5799565.423555321,79
2017-01-17,5802663.820676652,81
2017-01-18,5809973.660508852,84
2017-01-19,5813474.577137968,90
2017-01-20,5799570.877196874,89
2017-01-23,5807139.692847161,92
2017-01-24,5817610.855247305,100
2017-01-25,5828241.438731954,100
2017-01-27,5831457.460345552,100
2017-01-30,5824686.086055563,100
2017-01-31,5809795.124223222,100
2017-02-01,5829181.8492851155,100
2017-02-02,5835864.917848577,100
2017-02-03,5845613.908092914,100
2017-02-06,5857781.282433448,100
2017-02-07,5859044.635276764,100
2017-02-08,5865974.558985658,100
2017-02-09,5869175.184426021,100
2017-02-10,5865385.784766641,100
2017-02-13,5860815.245576826,100
2017-02-14,5857214.831552928,100
2017-02-15,5841108.0179511765,99
2017-02-16,5855093.929599006,100
2017-02-17,5858516.887394149,100
2017-02-20,5868062.198202807,100
2017-02-21,5872708.319944102,100
2017-02-22,5864620.628477771,100
2017-02-23,5866872.6786555955,100
2017-02-27,5863710.6556387,100
2017-02-28,5867107.097254274,100
2017-03-01,5875542.970487397,100
2017-03-02,5857869.712759725,100
2017-03-03,5864062.537812463,100
2017-03-06,5866951.181361417,100
2017-03-07,5867980.328908565,100
2017-03-08,5865769.413295446,97
2017-03-09,5866093.675197483,96
2017-03-10,5868148.1533003375,96
2017-03-14,5881608.354099289,100
2017-03-15,5885321.568213478,100
2017-03-16,5898778.496712223,100
2017-03-17,5896701.244185621,100
2017-03-20,5894599.031392132,100
2017-03-21,5892432.127557789,100
2017-03-22,5884557.125892513,100
2017-03-23,5897528.277501457,100
2017-03-24,5901740.956135147,100
2017-03-27,5896947.74869853,100
2017-03-28,5901704.104589406,100
2017-03-29,5902627.1076316275,100
2017-03-30,5910416.9531238405,100
2017-03-31,5923842.720242565,100
2017-04-03,5937653.353965347,100
2017-04-05,5955705.955936973,100
2017-04-06,5954040.620456093,100
2017-04-07,5948518.167803941,100
